 x,y,z,phi_inf,phi_d,phi_s,phi,Phi,v_inf_x,v_inf_y,v_inf_z,v_d_x,v_d_y,v_d_z,v_s_x,v_s_y,v_s_z,v_x,v_y,v_z,V_x,V_y,V_z,V
 0.3381230000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3381230000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3381230000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3383032000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3383032000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3383032000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3384833000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3384833000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3384833000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3386635000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3386635000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3386635000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3388437000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3388437000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3388437000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3390239000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3390239000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3390239000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3392041000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3392041000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3392041000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3393842000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3393842000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3393842000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3395644000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3395644000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3395644000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3397446000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3397446000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3397446000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3399248000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3399248000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3399248000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3401050000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3401050000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3401050000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3402851000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3402851000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3402851000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3404653000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3404653000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3404653000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3406455000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3406455000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3406455000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3408257000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3408257000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3408257000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3410059000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3410059000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3410059000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3411860000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3411860000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3411860000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3413662000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3413662000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3413662000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3415464000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3415464000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3415464000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3417266000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3417266000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3417266000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3419068000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3419068000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3419068000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3420869000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3420869000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3420869000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3422671000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3422671000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3422671000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3424473000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3424473000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3424473000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3426275000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3426275000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3426275000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3428077000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3428077000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3428077000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3429878000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3429878000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3429878000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3431680000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3431680000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3431680000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3433482000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3433482000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3433482000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3435284000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3435284000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3435284000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3437086000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3437086000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3437086000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3438887000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3438887000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3438887000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3440689000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3440689000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3440689000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3442491000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3442491000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3442491000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3444293000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3444293000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3444293000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3446095000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3446095000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3446095000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3447896000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3447896000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3447896000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3449698000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3449698000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3449698000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3451500000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3451500000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3451500000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3453302000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3453302000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3453302000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3455104000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3455104000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3455104000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3456905000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3456905000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3456905000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3458707000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3458707000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3458707000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3460509000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3460509000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3460509000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3462311000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3462311000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3462311000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3464113000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3464113000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3464113000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
 0.3465914000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3465914000000E+03, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.3465914000000E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00, 0.1000000000000E+01
